"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_1.nlogo"
"1-fish-population-w-reproduction"
"12/27/2024 19:44:03:555 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins"
"1","true","1.2","3","3","150","1","10","50","257","0.21011673151750973","54","5.4"
"2","true","1.2","3","3","150","1","10","50","410","0.14390243902439023","59","5.9"
"5","true","1.2","3","3","150","1","10","50","449","0.1447661469933185","65","6.5"
"3","true","1.2","3","3","150","1","10","50","296","0.19594594594594594","58","5.8"
"4","true","1.2","3","3","150","1","10","50","290","0.19310344827586207","56","5.6"
"9","true","1.2","3","3","150","1","10","100","482","0.26348547717842324","127","12.7"
"7","true","1.2","3","3","150","1","10","100","563","0.23801065719360567","134","13.4"
"8","true","1.2","3","3","150","1","10","100","563","0.2113676731793961","119","11.9"
"6","true","1.2","3","3","150","1","10","100","669","0.19880418535127056","133","13.3"
"10","true","1.2","3","3","150","1","10","100","519","0.2774566473988439","144","14.4"
"11","true","1.2","3","3","150","1","10","200","895","0.3229050279329609","289","28.9"
"12","true","1.2","3","3","150","1","10","200","1477","0.2098849018280298","310","31"
"13","true","1.2","3","3","150","1","10","200","1499","0.1887925283522348","283","28.3"
"14","true","1.2","3","3","150","1","10","200","894","0.3131991051454139","280","28"
"15","true","1.2","3","3","150","1","10","200","854","0.3255269320843091","278","27.8"
