"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_1.nlogo"
"1-fish-population"
"12/27/2024 19:43:51:466 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins"
"4","false","1.2","3","3","150","1","10","50","391","0.1278772378516624","50","5"
"5","false","1.2","3","3","150","1","10","50","386","0.12953367875647667","50","5"
"2","false","1.2","3","3","150","1","10","50","446","0.11210762331838565","50","5"
"3","false","1.2","3","3","150","1","10","50","424","0.1179245283018868","50","5"
"6","false","1.2","3","3","150","1","10","100","396","0.25252525252525254","100","10"
"7","false","1.2","3","3","150","1","10","100","324","0.30864197530864196","100","10"
"8","false","1.2","3","3","150","1","10","100","381","0.26246719160104987","100","10"
"10","false","1.2","3","3","150","1","10","100","322","0.3105590062111801","100","10"
"9","false","1.2","3","3","150","1","10","100","657","0.15220700152207","100","10"
"12","false","1.2","3","3","150","1","10","200","636","0.31446540880503143","200","20"
"11","false","1.2","3","3","150","1","10","200","553","0.3616636528028933","200","20"
"13","false","1.2","3","3","150","1","10","200","659","0.30349013657056145","200","20"
"14","false","1.2","3","3","150","1","10","200","466","0.4291845493562232","200","20"
"15","false","1.2","3","3","150","1","10","200","583","0.34305317324185247","200","20"
"1","false","1.2","3","3","150","1","10","50","309","0.16181229773462782","50","5"
