"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_1.nlogo"
"2-dolphin-population-reproduction"
"12/27/2024 19:56:54:038 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-fish","initial-number-dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins"
"4","true","1.2","3","3","150","1","100","5","2816","0.13707386363636365","386","77.2"
"5","true","1.2","3","3","150","1","100","5","3604","0.1334628190899001","481","96.2"
"7","true","1.2","3","3","150","1","100","10","414","0.26811594202898553","111","11.1"
"8","true","1.2","3","3","150","1","100","10","477","0.27044025157232704","129","12.9"
"6","true","1.2","3","3","150","1","100","10","1016","0.13484251968503938","137","13.7"
"3","true","1.2","3","3","150","1","100","5","2023","0.1903114186851211","385","77"
"11","true","1.2","3","3","150","1","100","20","221","0.45701357466063347","101","5.05"
"12","true","1.2","3","3","150","1","100","20","194","0.520618556701031","101","5.05"
"13","true","1.2","3","3","150","1","100","20","125","0.8","100","5"
"10","true","1.2","3","3","150","1","100","10","1386","0.09595959595959595","133","13.3"
"14","true","1.2","3","3","150","1","100","20","137","0.7299270072992701","100","5"
"15","true","1.2","3","3","150","1","100","20","279","0.3763440860215054","105","5.25"
"9","true","1.2","3","3","150","1","100","10","713","0.17110799438990182","122","12.2"
"1","true","1.2","3","3","150","1","100","5","4643","0.20353219900926126","945","189"
"2","true","1.2","3","3","150","1","100","5","4199","0.12931650392950703","543","108.6"
