"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_1.nlogo"
"2-dolphin-population"
"12/27/2024 19:43:58:758 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-fish","initial-number-dolphins","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins"
"3","false","1.2","3","3","150","1","100","5","888","0.11261261261261261","100","20"
"5","false","1.2","3","3","150","1","100","5","796","0.12562814070351758","100","20"
"6","false","1.2","3","3","150","1","100","10","394","0.25380710659898476","100","10"
"7","false","1.2","3","3","150","1","100","10","308","0.3246753246753247","100","10"
"4","false","1.2","3","3","150","1","100","5","1096","0.09124087591240876","100","20"
"1","false","1.2","3","3","150","1","100","5","835","0.11976047904191617","100","20"
"8","false","1.2","3","3","150","1","100","10","487","0.2053388090349076","100","10"
"9","false","1.2","3","3","150","1","100","10","376","0.26595744680851063","100","10"
"2","false","1.2","3","3","150","1","100","5","1165","0.08583690987124463","100","20"
"11","false","1.2","3","3","150","1","100","20","251","0.398406374501992","100","5"
"10","false","1.2","3","3","150","1","100","10","688","0.14534883720930233","100","10"
"12","false","1.2","3","3","150","1","100","20","346","0.28901734104046245","100","5"
"15","false","1.2","3","3","150","1","100","20","276","0.36231884057971014","100","5"
"14","false","1.2","3","3","150","1","100","20","520","0.19230769230769232","100","5"
"13","false","1.2","3","3","150","1","100","20","281","0.35587188612099646","100","5"
