"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_1.nlogo"
"3-fish-speed-reproduction"
"12/30/2024 17:48:21:515 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","initial-number-dolphins","initial-number-fish","speed-fish","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"5","true","1.2","3","3","150","10","100","1","382","0.3219895287958115","123","12.3","0"
"4","true","1.2","3","3","150","10","100","1","454","0.28193832599118945","128","12.8","0"
"3","true","1.2","3","3","150","10","100","1","779","0.16559691912708602","129","12.9","0"
"2","true","1.2","3","3","150","10","100","1","806","0.18858560794044665","152","15.2","0"
"9","true","1.2","3","3","150","10","100","1.2","1289","0.2009309542280838","259","25.9","0"
"6","true","1.2","3","3","150","10","100","1.2","1998","0.15015015015015015","300","30","0"
"8","true","1.2","3","3","150","10","100","1.2","1868","0.24464668094218414","457","45.7","0"
"7","true","1.2","3","3","150","10","100","1.2","2307","0.2535760728218466","585","58.5","0"
"10","true","1.2","3","3","150","10","100","1.2","2099","0.2081943782753692","437","43.7","0"
"1","true","1.2","3","3","150","10","100","1","530","0.24339622641509434","129","12.9","0"
"11","true","1.2","3","3","150","10","100","1.5","1650","1.064848484848485","1757","175.7","2251"
"14","true","1.2","3","3","150","10","100","1.5","1650","0.92","1518","151.8","2207"
"12","true","1.2","3","3","150","10","100","1.5","1500","1.0286666666666666","1543","154.3","2419"
"13","true","1.2","3","3","150","10","100","1.5","1650","1.1127272727272728","1836","183.6","3060"
"15","true","1.2","3","3","150","10","100","1.5","1500","1.1193333333333333","1679","167.9","2627"
"16","true","1.2","3","3","150","10","100","1.7","3000","1.1866666666666668","3560","356","2483"
"21","true","1.2","3","3","150","10","100","2","4875","0.11774358974358974","574","57.4","0"
"17","true","1.2","3","3","150","10","100","1.7","3300","1.1839393939393938","3907","390.7","2672"
"22","true","1.2","3","3","150","10","100","2","3975","0.12729559748427674","506","50.6","0"
"23","true","1.2","3","3","150","10","100","2","2633","0.112419293581466","296","29.6","0"
"24","true","1.2","3","3","150","10","100","2","4220","0.13483412322274882","569","56.9","0"
"25","true","1.2","3","3","150","10","100","2","5884","0.07138001359619306","420","42","0"
"18","true","1.2","3","3","150","10","100","1.7","3600","1.2322222222222223","4436","443.6","2671"
"20","true","1.2","3","3","150","10","100","1.7","2550","1.2866666666666666","3281","328.1","2244"
"19","true","1.2","3","3","150","10","100","1.7","2700","1.1788888888888889","3183","318.3","2188"
