"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_1.nlogo"
"3-fish-speed"
"12/27/2024 20:10:13:202 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins"
"4","false","1.2","3","3","150","1","10","100","486","0.205761316872428","100","10"
"2","false","1.2","3","3","150","1","10","100","529","0.1890359168241966","100","10"
"5","false","1.2","3","3","150","1","10","100","516","0.1937984496124031","100","10"
"3","false","1.2","3","3","150","1","10","100","485","0.20618556701030927","100","10"
"1","false","1.2","3","3","150","1","10","100","429","0.2331002331002331","100","10"
"6","false","1.2","3","3","150","1.2","10","100","653","0.15313935681470137","100","10"
"7","false","1.2","3","3","150","1.2","10","100","758","0.13192612137203166","100","10"
"9","false","1.2","3","3","150","1.2","10","100","549","0.18214936247723132","100","10"
"8","false","1.2","3","3","150","1.2","10","100","650","0.15384615384615385","100","10"
"10","false","1.2","3","3","150","1.2","10","100","584","0.17123287671232876","100","10"
"11","false","1.2","3","3","150","1.5","10","100","1556","0.06426735218508997","100","10"
"12","false","1.2","3","3","150","1.5","10","100","1353","0.07390983000739099","100","10"
"13","false","1.2","3","3","150","1.5","10","100","1564","0.0639386189258312","100","10"
"14","false","1.2","3","3","150","1.5","10","100","1556","0.06426735218508997","100","10"
"16","false","1.2","3","3","150","1.7","10","100","1693","0.05906674542232723","100","10"
"15","false","1.2","3","3","150","1.5","10","100","1247","0.08019246190858059","100","10"
"17","false","1.2","3","3","150","1.7","10","100","1661","0.060204695966285374","100","10"
"20","false","1.2","3","3","150","1.7","10","100","1490","0.06711409395973154","100","10"
"19","false","1.2","3","3","150","1.7","10","100","2675","0.037383177570093455","100","10"
"21","false","1.2","3","3","150","2","10","100","905","0.11049723756906077","100","10"
"18","false","1.2","3","3","150","1.7","10","100","1563","0.06397952655150352","100","10"
"22","false","1.2","3","3","150","2","10","100","1322","0.07564296520423601","100","10"
"23","false","1.2","3","3","150","2","10","100","761","0.1314060446780552","100","10"
"24","false","1.2","3","3","150","2","10","100","946","0.10570824524312897","100","10"
"25","false","1.2","3","3","150","2","10","100","1025","0.0975609756097561","100","10"
