"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_1.nlogo"
"4-dolphin-speed-reproduction"
"12/27/2024 20:10:47:229 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","speed-dolphin","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins"
"6","true","3","3","150","1","10","100","1.2","923","0.16034669555796316","148","14.8"
"7","true","3","3","150","1","10","100","1.2","856","0.14719626168224298","126","12.6"
"10","true","3","3","150","1","10","100","1.2","704","0.1747159090909091","123","12.3"
"8","true","3","3","150","1","10","100","1.2","665","0.18195488721804512","121","12.1"
"9","true","3","3","150","1","10","100","1.2","482","0.25933609958506226","125","12.5"
"11","true","3","3","150","1","10","100","1.5","312","0.358974358974359","112","11.2"
"12","true","3","3","150","1","10","100","1.5","394","0.27918781725888325","110","11"
"14","true","3","3","150","1","10","100","1.5","405","0.2814814814814815","114","11.4"
"13","true","3","3","150","1","10","100","1.5","381","0.28608923884514437","109","10.9"
"15","true","3","3","150","1","10","100","1.5","362","0.30386740331491713","110","11"
"16","true","3","3","150","1","10","100","1.7","216","0.47685185185185186","103","10.3"
"18","true","3","3","150","1","10","100","1.7","342","0.3216374269005848","110","11"
"19","true","3","3","150","1","10","100","1.7","427","0.26229508196721313","112","11.2"
"20","true","3","3","150","1","10","100","1.7","256","0.41796875","107","10.7"
"21","true","3","3","150","1","10","100","2","180","0.5666666666666667","102","10.2"
"23","true","3","3","150","1","10","100","2","185","0.5567567567567567","103","10.3"
"22","true","3","3","150","1","10","100","2","206","0.5","103","10.3"
"24","true","3","3","150","1","10","100","2","332","0.3132530120481928","104","10.4"
"25","true","3","3","150","1","10","100","2","188","0.5425531914893617","102","10.2"
"17","true","3","3","150","1","10","100","1.7","439","0.24829157175398633","109","10.9"
