"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_1.nlogo"
"4-dolphin-speed"
"12/27/2024 20:10:21:628 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","speed-dolphin","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins"
"2","false","3","3","150","1","10","100","1","1358","0.07363770250368189","100","10"
"6","false","3","3","150","1","10","100","1.2","423","0.2364066193853428","100","10"
"1","false","3","3","150","1","10","100","1","1097","0.09115770282588878","100","10"
"4","false","3","3","150","1","10","100","1","1177","0.08496176720475786","100","10"
"3","false","3","3","150","1","10","100","1","1079","0.09267840593141798","100","10"
"8","false","3","3","150","1","10","100","1.2","459","0.2178649237472767","100","10"
"7","false","3","3","150","1","10","100","1.2","840","0.11904761904761904","100","10"
"9","false","3","3","150","1","10","100","1.2","282","0.3546099290780142","100","10"
"5","false","3","3","150","1","10","100","1","1248","0.08012820512820513","100","10"
"10","false","3","3","150","1","10","100","1.2","548","0.18248175182481752","100","10"
"11","false","3","3","150","1","10","100","1.5","298","0.33557046979865773","100","10"
"15","false","3","3","150","1","10","100","1.5","372","0.26881720430107525","100","10"
"12","false","3","3","150","1","10","100","1.5","439","0.22779043280182232","100","10"
"14","false","3","3","150","1","10","100","1.5","422","0.23696682464454977","100","10"
"13","false","3","3","150","1","10","100","1.5","453","0.22075055187637968","100","10"
"19","false","3","3","150","1","10","100","1.7","207","0.4830917874396135","100","10"
"18","false","3","3","150","1","10","100","1.7","253","0.3952569169960474","100","10"
"21","false","3","3","150","1","10","100","2","172","0.5813953488372093","100","10"
"16","false","3","3","150","1","10","100","1.7","465","0.21505376344086022","100","10"
"20","false","3","3","150","1","10","100","1.7","225","0.4444444444444444","100","10"
"23","false","3","3","150","1","10","100","2","167","0.5988023952095808","100","10"
"22","false","3","3","150","1","10","100","2","163","0.6134969325153374","100","10"
"24","false","3","3","150","1","10","100","2","249","0.40160642570281124","100","10"
"25","false","3","3","150","1","10","100","2","224","0.44642857142857145","100","10"
"17","false","3","3","150","1","10","100","1.7","231","0.4329004329004329","100","10"
