"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_1.nlogo"
"5-fish-vision"
"12/28/2024 01:27:15:881 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","fish-vision-range","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins"
"5","false","1.2","3","150","1","10","100","1","193","0.5181347150259067","100","10"
"3","false","1.2","3","150","1","10","100","1","331","0.3021148036253776","100","10"
"2","false","1.2","3","150","1","10","100","1","604","0.16556291390728478","100","10"
"4","false","1.2","3","150","1","10","100","1","312","0.32051282051282054","100","10"
"1","false","1.2","3","150","1","10","100","1","430","0.23255813953488372","100","10"
"7","false","1.2","3","150","1","10","100","3","379","0.2638522427440633","100","10"
"8","false","1.2","3","150","1","10","100","3","481","0.2079002079002079","100","10"
"6","false","1.2","3","150","1","10","100","3","456","0.21929824561403508","100","10"
"9","false","1.2","3","150","1","10","100","3","703","0.1422475106685633","100","10"
"10","false","1.2","3","150","1","10","100","3","433","0.23094688221709006","100","10"
"11","false","1.2","3","150","1","10","100","5","6539","0.01529285823520416","100","10"
"12","false","1.2","3","150","1","10","100","5","9839","0.010163634515702815","100","10"
"14","false","1.2","3","150","1","10","100","5","9090","0.011001100110011002","100","10"
"13","false","1.2","3","150","1","10","100","5","8451","0.011832919181161992","100","10"
"15","false","1.2","3","150","1","10","100","5","7463","0.013399437223636608","100","10"
"19","false","1.2","3","150","1","10","100","10","18158","0.005507214450930719","100","10"
"16","false","1.2","3","150","1","10","100","10","26499","0.0037737273104645457","100","10"
"18","false","1.2","3","150","1","10","100","10","25303","0.003952100541437774","100","10"
"20","false","1.2","3","150","1","10","100","10","26761","0.0037367811367288216","100","10"
"17","false","1.2","3","150","1","10","100","10","51791","0.001930837404182194","100","10"
