"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_1.nlogo"
"6-dolphin-vision-reproduction"
"12/28/2024 01:05:09:865 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","dolphin-vision-range","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins"
"5","false","1.2","150","1","10","100","1","34916","0.002864016496735021","100","10"
"6","false","1.2","150","1","10","100","3","430","0.23255813953488372","100","10"
"7","false","1.2","150","1","10","100","3","400","0.25","100","10"
"8","false","1.2","150","1","10","100","3","361","0.2770083102493075","100","10"
"9","false","1.2","150","1","10","100","3","481","0.2079002079002079","100","10"
"10","false","1.2","150","1","10","100","3","349","0.28653295128939826","100","10"
"11","false","1.2","150","1","10","100","5","218","0.45871559633027525","100","10"
"12","false","1.2","150","1","10","100","5","250","0.4","100","10"
"13","false","1.2","150","1","10","100","5","160","0.625","100","10"
"14","false","1.2","150","1","10","100","5","270","0.37037037037037035","100","10"
"15","false","1.2","150","1","10","100","5","197","0.5076142131979695","100","10"
"16","false","1.2","150","1","10","100","10","177","0.5649717514124294","100","10"
"17","false","1.2","150","1","10","100","10","185","0.5405405405405406","100","10"
"4","false","1.2","150","1","10","100","1","35325","0.0028308563340410475","100","10"
"18","false","1.2","150","1","10","100","10","141","0.7092198581560284","100","10"
"20","false","1.2","150","1","10","100","10","200","0.5","100","10"
"19","false","1.2","150","1","10","100","10","193","0.5181347150259067","100","10"
"3","false","1.2","150","1","10","100","1","34259","0.002918941008202224","100","10"
"1","false","1.2","150","1","10","100","1","25280","0.003955696202531646","100","10"
"2","false","1.2","150","1","10","100","1","53375","0.001873536299765808","100","10"
