"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_1.nlogo"
"6-dolphin-vision"
"12/28/2024 01:04:06:687 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","dolphin-vision-range","[step]","sum [ fishes-eaten ] of turtles / ticks","sum [ fishes-eaten ] of turtles","mean [fishes-eaten] of dolphins"
"4","false","1.2","150","1","10","100","1","37228","0.0026861502095197162","100","10"
"6","false","1.2","150","1","10","100","3","324","0.30864197530864196","100","10"
"7","false","1.2","150","1","10","100","3","374","0.26737967914438504","100","10"
"8","false","1.2","150","1","10","100","3","409","0.24449877750611246","100","10"
"3","false","1.2","150","1","10","100","1","47092","0.002123502930434044","100","10"
"9","false","1.2","150","1","10","100","3","391","0.2557544757033248","100","10"
"11","false","1.2","150","1","10","100","5","219","0.45662100456621","100","10"
"10","false","1.2","150","1","10","100","3","369","0.27100271002710025","100","10"
"12","false","1.2","150","1","10","100","5","252","0.3968253968253968","100","10"
"13","false","1.2","150","1","10","100","5","205","0.4878048780487805","100","10"
"14","false","1.2","150","1","10","100","5","273","0.3663003663003663","100","10"
"15","false","1.2","150","1","10","100","5","173","0.5780346820809249","100","10"
"16","false","1.2","150","1","10","100","10","171","0.5847953216374269","100","10"
"18","false","1.2","150","1","10","100","10","203","0.49261083743842365","100","10"
"17","false","1.2","150","1","10","100","10","191","0.5235602094240838","100","10"
"20","false","1.2","150","1","10","100","10","128","0.78125","100","10"
"19","false","1.2","150","1","10","100","10","212","0.4716981132075472","100","10"
"2","false","1.2","150","1","10","100","1","34882","0.0028668080958660627","100","10"
"5","false","1.2","150","1","10","100","1","47888","0.002088205813564985","100","10"
"1","false","1.2","150","1","10","100","1","44792","0.00223254152527237","100","10"
