"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_1.nlogo"
"7-fish-reproduction"
"12/28/2024 02:00:20:099 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-reproduction-rate","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"4","true","1.2","3","3","1","10","100","25","150","1.84","276","27.6","2545"
"5","true","1.2","3","3","1","10","100","25","150","1.72","258","25.8","3016"
"1","true","1.2","3","3","1","10","100","25","150","1.9333333333333333","290","29","2530"
"3","true","1.2","3","3","1","10","100","25","150","1.7933333333333332","269","26.9","2416"
"2","true","1.2","3","3","1","10","100","25","150","1.9866666666666666","298","29.8","2937"
"9","true","1.2","3","3","1","10","100","50","450","1.62","729","72.9","2020"
"7","true","1.2","3","3","1","10","100","50","450","1.5733333333333333","708","70.8","2488"
"8","true","1.2","3","3","1","10","100","50","400","1.705","682","68.2","2520"
"12","true","1.2","3","3","1","10","100","100","904","0.2002212389380531","181","18.1","0"
"11","true","1.2","3","3","1","10","100","100","760","0.2631578947368421","200","20","0"
"6","true","1.2","3","3","1","10","100","50","400","1.715","686","68.6","3279"
"13","true","1.2","3","3","1","10","100","100","1010","0.19207920792079208","194","19.4","0"
"14","true","1.2","3","3","1","10","100","100","1362","0.16666666666666666","227","22.7","0"
"16","true","1.2","3","3","1","10","100","150","601","0.2096505823627288","126","12.6","0"
"17","true","1.2","3","3","1","10","100","150","510","0.2235294117647059","114","11.4","0"
"18","true","1.2","3","3","1","10","100","150","765","0.15947712418300652","122","12.2","0"
"15","true","1.2","3","3","1","10","100","100","985","0.20101522842639594","198","19.8","0"
"19","true","1.2","3","3","1","10","100","150","661","0.2027231467473525","134","13.4","0"
"10","true","1.2","3","3","1","10","100","50","400","1.65","660","66","2055"
"21","true","1.2","3","3","1","10","100","300","595","0.173109243697479","103","10.3","0"
"20","true","1.2","3","3","1","10","100","150","1264","0.10680379746835443","135","13.5","0"
"23","true","1.2","3","3","1","10","100","300","351","0.28774928774928776","101","10.1","0"
"24","true","1.2","3","3","1","10","100","300","306","0.3300653594771242","101","10.1","0"
"25","true","1.2","3","3","1","10","100","300","459","0.22657952069716775","104","10.4","0"
"22","true","1.2","3","3","1","10","100","300","846","0.12174940898345153","103","10.3","0"
