"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"1-fish-population-reproduction"
"12/30/2024 16:44:50:482 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"5","true","1.2","3","3","150","1","10","50","376","0.15425531914893617","58","5.8","0"
"4","true","1.2","3","3","150","1","10","50","340","0.17647058823529413","60","6","0"
"2","true","1.2","3","3","150","1","10","50","405","0.14074074074074075","57","5.7","0"
"3","true","1.2","3","3","150","1","10","50","488","0.12295081967213115","60","6","0"
"7","true","1.2","3","3","150","1","10","100","556","0.21402877697841727","119","11.9","0"
"1","true","1.2","3","3","150","1","10","50","488","0.125","61","6.1","0"
"6","true","1.2","3","3","150","1","10","100","491","0.2505091649694501","123","12.3","0"
"8","true","1.2","3","3","150","1","10","100","474","0.2320675105485232","110","11","0"
"10","true","1.2","3","3","150","1","10","100","615","0.1967479674796748","121","12.1","0"
"9","true","1.2","3","3","150","1","10","100","977","0.1218014329580348","119","11.9","0"
"13","true","1.2","3","3","150","1","10","200","583","0.4219554030874786","246","24.6","0"
"14","true","1.2","3","3","150","1","10","200","547","0.453382084095064","248","24.8","0"
"12","true","1.2","3","3","150","1","10","200","652","0.40950920245398775","267","26.7","0"
"11","true","1.2","3","3","150","1","10","200","674","0.4658753709198813","314","31.4","0"
"15","true","1.2","3","3","150","1","10","200","716","0.3743016759776536","268","26.8","0"
