"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"1-fish-population"
"12/30/2024 16:56:41:702 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"4","false","1.2","3","3","150","1","10","50","295","0.1694915254237288","50","5","0"
"2","false","1.2","3","3","150","1","10","50","249","0.20080321285140562","50","5","0"
"3","false","1.2","3","3","150","1","10","50","298","0.16778523489932887","50","5","0"
"1","false","1.2","3","3","150","1","10","50","231","0.21645021645021645","50","5","0"
"5","false","1.2","3","3","150","1","10","50","356","0.1404494382022472","50","5","0"
"6","false","1.2","3","3","150","1","10","100","278","0.3597122302158273","100","10","0"
"7","false","1.2","3","3","150","1","10","100","265","0.37735849056603776","100","10","0"
"9","false","1.2","3","3","150","1","10","100","335","0.29850746268656714","100","10","0"
"8","false","1.2","3","3","150","1","10","100","334","0.2994011976047904","100","10","0"
"10","false","1.2","3","3","150","1","10","100","348","0.28735632183908044","100","10","0"
"11","false","1.2","3","3","150","1","10","200","381","0.5249343832020997","200","20","0"
"14","false","1.2","3","3","150","1","10","200","497","0.4024144869215292","200","20","0"
"12","false","1.2","3","3","150","1","10","200","472","0.423728813559322","200","20","0"
"13","false","1.2","3","3","150","1","10","200","545","0.3669724770642202","200","20","0"
"15","false","1.2","3","3","150","1","10","200","381","0.5249343832020997","200","20","0"
