"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"10-fish-weights-reproduction"
"01/01/2025 18:52:12:486 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","max-turn","cohesion-weight","alignment-weight","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"5","true","150","1.2","3","3","1","10","100","1","3","20","0.1","0.1","254","0.4251968503937008","108","10.8","0"
"4","true","150","1.2","3","3","1","10","100","1","3","20","0.1","0.1","477","0.25157232704402516","120","12","0"
"2","true","150","1.2","3","3","1","10","100","1","3","20","0.1","0.1","361","0.29916897506925205","108","10.8","0"
"3","true","150","1.2","3","3","1","10","100","1","3","20","0.1","0.1","462","0.25757575757575757","119","11.9","0"
"7","true","150","1.2","3","3","1","10","100","1","3","20","0.1","0.3","339","0.3333333333333333","113","11.3","0"
"6","true","150","1.2","3","3","1","10","100","1","3","20","0.1","0.3","565","0.20707964601769913","117","11.7","0"
"9","true","150","1.2","3","3","1","10","100","1","3","20","0.1","0.3","507","0.22287968441814596","113","11.3","0"
"8","true","150","1.2","3","3","1","10","100","1","3","20","0.1","0.3","698","0.17765042979942694","124","12.4","0"
"11","true","150","1.2","3","3","1","10","100","1","3","20","0.1","0.5","421","0.27790973871733965","117","11.7","0"
"1","true","150","1.2","3","3","1","10","100","1","3","20","0.1","0.1","291","0.3951890034364261","115","11.5","0"
"10","true","150","1.2","3","3","1","10","100","1","3","20","0.1","0.3","715","0.16363636363636364","117","11.7","0"
"12","true","150","1.2","3","3","1","10","100","1","3","20","0.1","0.5","562","0.20284697508896798","114","11.4","0"
"14","true","150","1.2","3","3","1","10","100","1","3","20","0.1","0.5","383","0.30809399477806787","118","11.8","0"
"13","true","150","1.2","3","3","1","10","100","1","3","20","0.1","0.5","347","0.31988472622478387","111","11.1","0"
"17","true","150","1.2","3","3","1","10","100","1","3","20","0.1","0.7","399","0.2807017543859649","112","11.2","0"
