"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"10-fish-weights"
"01/01/2025 18:43:00:089 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","max-turn","cohesion-weight","alignment-weight","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"2","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.1","277","0.36101083032490977","100","10","0"
"5","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.1","233","0.4291845493562232","100","10","0"
"4","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.1","343","0.2915451895043732","100","10","0"
"3","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.1","266","0.37593984962406013","100","10","0"
"6","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.3","337","0.29673590504451036","100","10","0"
"10","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.3","307","0.3257328990228013","100","10","0"
"7","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.3","376","0.26595744680851063","100","10","0"
"8","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.3","312","0.32051282051282054","100","10","0"
"9","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.3","281","0.35587188612099646","100","10","0"
"1","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.1","295","0.3389830508474576","100","10","0"
"11","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.5","317","0.31545741324921134","100","10","0"
"12","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.5","396","0.25252525252525254","100","10","0"
"14","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.5","259","0.3861003861003861","100","10","0"
"13","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.5","414","0.24154589371980675","100","10","0"
"15","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.5","390","0.2564102564102564","100","10","0"
"16","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.7","568","0.176056338028169","100","10","0"
"19","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.7","314","0.3184713375796178","100","10","0"
"18","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.7","225","0.4444444444444444","100","10","0"
"17","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.7","303","0.33003300330033003","100","10","0"
"20","false","150","1.2","3","3","1","10","100","1","3","20","0.1","0.7","440","0.22727272727272727","100","10","0"
"21","false","150","1.2","3","3","1","10","100","1","3","20","0.1","1","262","0.3816793893129771","100","10","0"
"22","false","150","1.2","3","3","1","10","100","1","3","20","0.1","1","262","0.3816793893129771","100","10","0"
"23","false","150","1.2","3","3","1","10","100","1","3","20","0.1","1","316","0.31645569620253167","100","10","0"
"25","false","150","1.2","3","3","1","10","100","1","3","20","0.1","1","401","0.24937655860349128","100","10","0"
"26","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.1","356","0.2808988764044944","100","10","0"
"27","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.1","233","0.4291845493562232","100","10","0"
"24","false","150","1.2","3","3","1","10","100","1","3","20","0.1","1","499","0.20040080160320642","100","10","0"
"28","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.1","370","0.2702702702702703","100","10","0"
"29","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.1","349","0.28653295128939826","100","10","0"
"31","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.3","256","0.390625","100","10","0"
"32","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.3","326","0.3067484662576687","100","10","0"
"30","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.1","619","0.16155088852988692","100","10","0"
"35","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.3","248","0.4032258064516129","100","10","0"
"33","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.3","441","0.22675736961451248","100","10","0"
"34","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.3","489","0.20449897750511248","100","10","0"
"36","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.5","271","0.36900369003690037","100","10","0"
"38","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.5","410","0.24390243902439024","100","10","0"
"37","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.5","364","0.27472527472527475","100","10","0"
"39","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.5","294","0.3401360544217687","100","10","0"
"40","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.5","295","0.3389830508474576","100","10","0"
"42","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.7","266","0.37593984962406013","100","10","0"
"44","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.7","253","0.3952569169960474","100","10","0"
"41","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.7","315","0.31746031746031744","100","10","0"
"43","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.7","364","0.27472527472527475","100","10","0"
"46","false","150","1.2","3","3","1","10","100","1","3","20","0.3","1","283","0.35335689045936397","100","10","0"
"45","false","150","1.2","3","3","1","10","100","1","3","20","0.3","0.7","342","0.29239766081871343","100","10","0"
"47","false","150","1.2","3","3","1","10","100","1","3","20","0.3","1","259","0.3861003861003861","100","10","0"
"48","false","150","1.2","3","3","1","10","100","1","3","20","0.3","1","444","0.22522522522522523","100","10","0"
"49","false","150","1.2","3","3","1","10","100","1","3","20","0.3","1","442","0.22624434389140272","100","10","0"
"51","false","150","1.2","3","3","1","10","100","1","3","20","0.5","0.1","297","0.3367003367003367","100","10","0"
"52","false","150","1.2","3","3","1","10","100","1","3","20","0.5","0.1","365","0.273972602739726","100","10","0"
"50","false","150","1.2","3","3","1","10","100","1","3","20","0.3","1","286","0.34965034965034963","100","10","0"
"53","false","150","1.2","3","3","1","10","100","1","3","20","0.5","0.1","367","0.2724795640326976","100","10","0"
"55","false","150","1.2","3","3","1","10","100","1","3","20","0.5","0.1","350","0.2857142857142857","100","10","0"
"57","false","150","1.2","3","3","1","10","100","1","3","20","0.5","0.3","271","0.36900369003690037","100","10","0"
"54","false","150","1.2","3","3","1","10","100","1","3","20","0.5","0.1","282","0.3546099290780142","100","10","0"
"56","false","150","1.2","3","3","1","10","100","1","3","20","0.5","0.3","331","0.3021148036253776","100","10","0"
"58","false","150","1.2","3","3","1","10","100","1","3","20","0.5","0.3","324","0.30864197530864196","100","10","0"
"59","false","150","1.2","3","3","1","10","100","1","3","20","0.5","0.3","373","0.2680965147453083","100","10","0"
"60","false","150","1.2","3","3","1","10","100","1","3","20","0.5","0.3","435","0.22988505747126436","100","10","0"
"61","false","150","1.2","3","3","1","10","100","1","3","20","0.5","0.5","333","0.3003003003003003","100","10","0"
"62","false","150","1.2","3","3","1","10","100","1","3","20","0.5","0.5","359","0.2785515320334262","100","10","0"
"63","false","150","1.2","3","3","1","10","100","1","3","20","0.5","0.5","394","0.25380710659898476","100","10","0"
