"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"11-fish-max-turn-reproduction"
"01/01/2025 18:44:50:078 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"2","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","1","317","0.3438485804416404","109","10.9","0"
"5","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","1","441","0.2675736961451247","118","11.8","0"
"3","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","1","449","0.25389755011135856","114","11.4","0"
"4","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","1","565","0.20530973451327433","116","11.6","0"
"6","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","403","0.2977667493796526","120","12","0"
"7","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","427","0.29508196721311475","126","12.6","0"
"9","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","683","0.1800878477306003","123","12.3","0"
"1","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","1","444","0.2702702702702703","120","12","0"
"8","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","471","0.25902335456475584","122","12.2","0"
"10","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","401","0.286783042394015","115","11.5","0"
"11","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","50","290","0.3793103448275862","110","11","0"
"12","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","50","348","0.32471264367816094","113","11.3","0"
"13","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","50","399","0.2807017543859649","112","11.2","0"
"16","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","90","378","0.30952380952380953","117","11.7","0"
"15","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","50","415","0.27710843373493976","115","11.5","0"
"14","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","50","393","0.30279898218829515","119","11.9","0"
"17","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","90","453","0.26269315673289184","119","11.9","0"
"18","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","90","557","0.21543985637342908","120","12","0"
"19","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","90","411","0.2846715328467153","117","11.7","0"
"20","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","90","464","0.2521551724137931","117","11.7","0"
"22","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","120","447","0.2639821029082774","118","11.8","0"
"23","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","120","269","0.40892193308550184","110","11","0"
"21","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","120","439","0.2824601366742597","124","12.4","0"
"24","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","120","489","0.23721881390593047","116","11.6","0"
"25","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","120","415","0.29156626506024097","121","12.1","0"
"26","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","180","426","0.27699530516431925","118","11.8","0"
"27","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","180","365","0.31232876712328766","114","11.4","0"
"28","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","180","587","0.20442930153321975","120","12","0"
"29","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","180","353","0.32011331444759206","113","11.3","0"
"30","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","180","505","0.24554455445544554","124","12.4","0"
