"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"11-fish-max-turn"
"01/01/2025 18:44:45:254 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"4","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","1","251","0.398406374501992","100","10","0"
"5","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","1","320","0.3125","100","10","0"
"2","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","1","364","0.27472527472527475","100","10","0"
"3","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","1","329","0.303951367781155","100","10","0"
"6","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","206","0.4854368932038835","100","10","0"
"7","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","336","0.2976190476190476","100","10","0"
"8","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","287","0.34843205574912894","100","10","0"
"9","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","549","0.18214936247723132","100","10","0"
"10","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","310","0.3225806451612903","100","10","0"
"1","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","1","330","0.30303030303030304","100","10","0"
"12","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","50","317","0.31545741324921134","100","10","0"
"11","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","50","334","0.2994011976047904","100","10","0"
"14","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","50","379","0.2638522427440633","100","10","0"
"16","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","90","414","0.24154589371980675","100","10","0"
"13","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","50","575","0.17391304347826086","100","10","0"
"15","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","50","297","0.3367003367003367","100","10","0"
"17","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","90","400","0.25","100","10","0"
"18","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","90","321","0.3115264797507788","100","10","0"
"19","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","90","344","0.29069767441860467","100","10","0"
"20","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","90","394","0.25380710659898476","100","10","0"
"21","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","120","581","0.1721170395869191","100","10","0"
"22","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","120","335","0.29850746268656714","100","10","0"
"23","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","120","295","0.3389830508474576","100","10","0"
"27","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","180","317","0.31545741324921134","100","10","0"
"26","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","180","490","0.20408163265306123","100","10","0"
"25","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","120","363","0.27548209366391185","100","10","0"
"24","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","120","400","0.25","100","10","0"
"28","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","180","357","0.2801120448179272","100","10","0"
"29","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","180","230","0.43478260869565216","100","10","0"
"30","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","180","288","0.3472222222222222","100","10","0"
