"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"13-dolphin-communication-0-range"
"01/02/2025 17:56:28:313 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"3","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","380","0.3157894736842105","120","12","0"
"4","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","476","0.24789915966386555","118","11.8","0"
"2","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","416","0.2980769230769231","124","12.4","0"
"5","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","396","0.3005050505050505","119","11.9","0"
"6","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","523","0.24282982791587","127","12.7","0"
"8","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","527","0.23529411764705882","124","12.4","0"
"7","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","554","0.21299638989169675","118","11.8","0"
"9","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","275","0.4109090909090909","113","11.3","0"
"12","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","438","0.2557077625570776","112","11.2","0"
"11","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","504","0.2261904761904762","114","11.4","0"
"13","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","376","0.300531914893617","113","11.3","0"
"10","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","568","0.22711267605633803","129","12.9","0"
"14","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","594","0.21548821548821548","128","12.8","0"
"17","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","303","0.38613861386138615","117","11.7","0"
"15","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","390","0.3076923076923077","120","12","0"
"16","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","353","0.35410764872521244","125","12.5","0"
"18","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","317","0.34069400630914826","108","10.8","0"
"19","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","493","0.26369168356997974","130","13","0"
"21","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","395","0.28607594936708863","113","11.3","0"
"20","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","548","0.22992700729927007","126","12.6","0"
"22","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","815","0.147239263803681","120","12","0"
"24","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","505","0.22772277227722773","115","11.5","0"
"23","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","533","0.21951219512195122","117","11.7","0"
"25","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","390","0.2948717948717949","115","11.5","0"
"26","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","597","0.19932998324958123","119","11.9","0"
"28","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","405","0.30864197530864196","125","12.5","0"
"27","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","448","0.2767857142857143","124","12.4","0"
"29","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","443","0.28216704288939054","125","12.5","0"
"30","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","416","0.2860576923076923","119","11.9","0"
"31","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","377","0.30238726790450926","114","11.4","0"
"32","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","394","0.27411167512690354","108","10.8","0"
"34","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","352","0.3153409090909091","111","11.1","0"
"35","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","448","0.26785714285714285","120","12","0"
"33","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","740","0.15675675675675677","116","11.6","0"
"36","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","498","0.2389558232931727","119","11.9","0"
"37","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","368","0.3179347826086957","117","11.7","0"
"38","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","513","0.2300194931773879","118","11.8","0"
"40","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","443","0.26636568848758463","118","11.8","0"
"39","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","486","0.257201646090535","125","12.5","0"
"42","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","344","0.31976744186046513","110","11","0"
"41","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","435","0.271264367816092","118","11.8","0"
"43","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","312","0.3782051282051282","118","11.8","0"
"44","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","566","0.21201413427561838","120","12","0"
"45","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","403","0.29528535980148884","119","11.9","0"
"46","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","498","0.2429718875502008","121","12.1","0"
"47","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","410","0.29024390243902437","119","11.9","0"
"49","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","377","0.29973474801061006","113","11.3","0"
"48","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","682","0.17155425219941348","117","11.7","0"
"50","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","482","0.2697095435684647","130","13","0"
"1","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","356","0.30337078651685395","108","10.8","0"
