"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"2-dolphin-population"
"12/30/2024 16:44:45:455 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-fish","initial-number-dolphins","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"5","false","1.2","3","3","150","1","100","5","936","0.10683760683760683","100","20","0"
"2","false","1.2","3","3","150","1","100","5","483","0.2070393374741201","100","20","0"
"3","false","1.2","3","3","150","1","100","5","766","0.13054830287206268","100","20","0"
"6","false","1.2","3","3","150","1","100","10","284","0.352112676056338","100","10","0"
"4","false","1.2","3","3","150","1","100","5","713","0.1402524544179523","100","20","0"
"7","false","1.2","3","3","150","1","100","10","377","0.26525198938992045","100","10","0"
"8","false","1.2","3","3","150","1","100","10","298","0.33557046979865773","100","10","0"
"1","false","1.2","3","3","150","1","100","5","569","0.1757469244288225","100","20","0"
"10","false","1.2","3","3","150","1","100","10","281","0.35587188612099646","100","10","0"
"11","false","1.2","3","3","150","1","100","20","168","0.5952380952380952","100","5","0"
"9","false","1.2","3","3","150","1","100","10","442","0.22624434389140272","100","10","0"
"13","false","1.2","3","3","150","1","100","20","117","0.8547008547008547","100","5","0"
"12","false","1.2","3","3","150","1","100","20","205","0.4878048780487805","100","5","0"
"14","false","1.2","3","3","150","1","100","20","212","0.4716981132075472","100","5","0"
"15","false","1.2","3","3","150","1","100","20","179","0.5586592178770949","100","5","0"
