"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"3-fish-speed"
"12/30/2024 16:45:01:269 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"3","false","1.2","3","3","150","1","10","100","279","0.35842293906810035","100","10","0"
"5","false","1.2","3","3","150","1","10","100","362","0.27624309392265195","100","10","0"
"2","false","1.2","3","3","150","1","10","100","268","0.373134328358209","100","10","0"
"1","false","1.2","3","3","150","1","10","100","346","0.28901734104046245","100","10","0"
"4","false","1.2","3","3","150","1","10","100","472","0.211864406779661","100","10","0"
"6","false","1.2","3","3","150","1.2","10","100","456","0.21929824561403508","100","10","0"
"7","false","1.2","3","3","150","1.2","10","100","643","0.15552099533437014","100","10","0"
"8","false","1.2","3","3","150","1.2","10","100","517","0.19342359767891681","100","10","0"
"9","false","1.2","3","3","150","1.2","10","100","568","0.176056338028169","100","10","0"
"10","false","1.2","3","3","150","1.2","10","100","630","0.15873015873015872","100","10","0"
"11","false","1.2","3","3","150","1.5","10","100","759","0.13175230566534915","100","10","0"
"12","false","1.2","3","3","150","1.5","10","100","1087","0.09199632014719411","100","10","0"
"14","false","1.2","3","3","150","1.5","10","100","1172","0.08532423208191127","100","10","0"
"13","false","1.2","3","3","150","1.5","10","100","1512","0.06613756613756613","100","10","0"
"15","false","1.2","3","3","150","1.5","10","100","847","0.1180637544273908","100","10","0"
"16","false","1.2","3","3","150","1.7","10","100","1089","0.09182736455463728","100","10","0"
"17","false","1.2","3","3","150","1.7","10","100","936","0.10683760683760683","100","10","0"
"19","false","1.2","3","3","150","1.7","10","100","1075","0.09302325581395349","100","10","0"
"18","false","1.2","3","3","150","1.7","10","100","1043","0.09587727708533078","100","10","0"
"21","false","1.2","3","3","150","2","10","100","708","0.14124293785310735","100","10","0"
"22","false","1.2","3","3","150","2","10","100","673","0.1485884101040119","100","10","0"
"20","false","1.2","3","3","150","1.7","10","100","956","0.10460251046025104","100","10","0"
"23","false","1.2","3","3","150","2","10","100","966","0.10351966873706005","100","10","0"
"24","false","1.2","3","3","150","2","10","100","799","0.1251564455569462","100","10","0"
"25","false","1.2","3","3","150","2","10","100","761","0.1314060446780552","100","10","0"
