"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"4-dolphin-speed-reproduction"
"12/30/2024 16:55:23:270 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","speed-dolphin","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"2","true","3","3","150","1","10","100","1","900","0.40444444444444444","364","36.4","2091"
"6","true","3","3","150","1","10","100","1.2","496","0.23790322580645162","118","11.8","0"
"7","true","3","3","150","1","10","100","1.2","402","0.3034825870646766","122","12.2","0"
"8","true","3","3","150","1","10","100","1.2","491","0.2729124236252546","134","13.4","0"
"9","true","3","3","150","1","10","100","1.2","427","0.2810304449648712","120","12","0"
"10","true","3","3","150","1","10","100","1.2","374","0.2887700534759358","108","10.8","0"
"11","true","3","3","150","1","10","100","1.5","457","0.23194748358862144","106","10.6","0"
"12","true","3","3","150","1","10","100","1.5","338","0.3106508875739645","105","10.5","0"
"13","true","3","3","150","1","10","100","1.5","290","0.35517241379310344","103","10.3","0"
"14","true","3","3","150","1","10","100","1.5","151","0.6688741721854304","101","10.1","0"
"15","true","3","3","150","1","10","100","1.5","223","0.45739910313901344","102","10.2","0"
"5","true","3","3","150","1","10","100","1","900","0.3511111111111111","316","31.6","2584"
"16","true","3","3","150","1","10","100","1.7","143","0.6993006993006993","100","10","0"
"17","true","3","3","150","1","10","100","1.7","223","0.452914798206278","101","10.1","0"
"18","true","3","3","150","1","10","100","1.7","217","0.4792626728110599","104","10.4","0"
"20","true","3","3","150","1","10","100","1.7","166","0.6144578313253012","102","10.2","0"
"19","true","3","3","150","1","10","100","1.7","201","0.5124378109452736","103","10.3","0"
"21","true","3","3","150","1","10","100","2","289","0.35294117647058826","102","10.2","0"
"22","true","3","3","150","1","10","100","2","359","0.2841225626740947","102","10.2","0"
"23","true","3","3","150","1","10","100","2","256","0.40234375","103","10.3","0"
"24","true","3","3","150","1","10","100","2","264","0.38257575757575757","101","10.1","0"
"25","true","3","3","150","1","10","100","2","128","0.78125","100","10","0"
"4","true","3","3","150","1","10","100","1","1050","0.4657142857142857","489","48.9","3034"
"3","true","3","3","150","1","10","100","1","1050","0.38476190476190475","404","40.4","3114"
"1","true","3","3","150","1","10","100","1","1050","0.4895238095238095","514","51.4","3672"
