"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"4-dolphin-speed"
"12/30/2024 16:45:06:732 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","speed-dolphin","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"4","false","3","3","150","1","10","100","1","1359","0.07358351729212656","100","10","0"
"6","false","3","3","150","1","10","100","1.2","334","0.2994011976047904","100","10","0"
"2","false","3","3","150","1","10","100","1","1166","0.08576329331046312","100","10","0"
"3","false","3","3","150","1","10","100","1","913","0.10952902519167579","100","10","0"
"7","false","3","3","150","1","10","100","1.2","233","0.4291845493562232","100","10","0"
"8","false","3","3","150","1","10","100","1.2","305","0.32786885245901637","100","10","0"
"9","false","3","3","150","1","10","100","1.2","241","0.4149377593360996","100","10","0"
"10","false","3","3","150","1","10","100","1.2","308","0.3246753246753247","100","10","0"
"11","false","3","3","150","1","10","100","1.5","307","0.3257328990228013","100","10","0"
"13","false","3","3","150","1","10","100","1.5","297","0.3367003367003367","100","10","0"
"14","false","3","3","150","1","10","100","1.5","190","0.5263157894736842","100","10","0"
"5","false","3","3","150","1","10","100","1","1076","0.09293680297397769","100","10","0"
"12","false","3","3","150","1","10","100","1.5","204","0.49019607843137253","100","10","0"
"1","false","3","3","150","1","10","100","1","1009","0.09910802775024777","100","10","0"
"15","false","3","3","150","1","10","100","1.5","352","0.2840909090909091","100","10","0"
"16","false","3","3","150","1","10","100","1.7","133","0.7518796992481203","100","10","0"
"19","false","3","3","150","1","10","100","1.7","206","0.4854368932038835","100","10","0"
"18","false","3","3","150","1","10","100","1.7","238","0.42016806722689076","100","10","0"
"20","false","3","3","150","1","10","100","1.7","231","0.4329004329004329","100","10","0"
"17","false","3","3","150","1","10","100","1.7","292","0.3424657534246575","100","10","0"
"21","false","3","3","150","1","10","100","2","143","0.6993006993006993","100","10","0"
"23","false","3","3","150","1","10","100","2","163","0.6134969325153374","100","10","0"
"22","false","3","3","150","1","10","100","2","137","0.7299270072992701","100","10","0"
"24","false","3","3","150","1","10","100","2","271","0.36900369003690037","100","10","0"
"25","false","3","3","150","1","10","100","2","198","0.5050505050505051","100","10","0"
