"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"5-fish-vision-reproduction"
"12/30/2024 16:57:30:910 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","fish-vision-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"5","true","1.2","3","150","1","10","100","1","125","0.8","100","10","0"
"2","true","1.2","3","150","1","10","100","1","188","0.5372340425531915","101","10.1","0"
"4","true","1.2","3","150","1","10","100","1","212","0.47641509433962265","101","10.1","0"
"1","true","1.2","3","150","1","10","100","1","111","0.9009009009009009","100","10","0"
"3","true","1.2","3","150","1","10","100","1","219","0.4611872146118721","101","10.1","0"
"6","true","1.2","3","150","1","10","100","3","541","0.24029574861367836","130","13","0"
"8","true","1.2","3","150","1","10","100","3","428","0.2733644859813084","117","11.7","0"
"7","true","1.2","3","150","1","10","100","3","413","0.3075060532687651","127","12.7","0"
"9","true","1.2","3","150","1","10","100","3","420","0.28809523809523807","121","12.1","0"
"10","true","1.2","3","150","1","10","100","3","410","0.2634146341463415","108","10.8","0"
"11","true","1.2","3","150","1","10","100","5","900","0.26666666666666666","240","24","3321"
"13","true","1.2","3","150","1","10","100","5","900","0.2288888888888889","206","20.6","3600"
"14","true","1.2","3","150","1","10","100","5","900","0.30777777777777776","277","27.7","3486"
"12","true","1.2","3","150","1","10","100","5","900","0.3211111111111111","289","28.9","3428"
"15","true","1.2","3","150","1","10","100","5","900","0.2877777777777778","259","25.9","3721"
"18","true","1.2","3","150","1","10","100","10","750","0.07066666666666667","53","5.3","2594"
"16","true","1.2","3","150","1","10","100","10","750","0.06133333333333333","46","4.6","2754"
"17","true","1.2","3","150","1","10","100","10","750","0.13066666666666665","98","9.8","2694"
"19","true","1.2","3","150","1","10","100","10","750","0.05333333333333334","40","4","2864"
"20","true","1.2","3","150","1","10","100","10","750","0.04666666666666667","35","3.5","2804"
