"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"5-fish-vision"
"12/30/2024 17:57:57:139 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","fish-vision-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"5","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","1","228","0.43859649122807015","100","10","0"
"3","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","1","277","0.36101083032490977","100","10","0"
"4","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","1","174","0.5747126436781609","100","10","0"
"2","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","1","120","0.8333333333333334","100","10","0"
"1","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","1","160","0.625","100","10","0"
"8","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","3","508","0.1968503937007874","100","10","0"
"7","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","3","294","0.3401360544217687","100","10","0"
"9","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","3","347","0.2881844380403458","100","10","0"
"6","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","3","313","0.3194888178913738","100","10","0"
"10","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","3","284","0.352112676056338","100","10","0"
"11","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","5","7448","0.01342642320085929","100","10","0"
"13","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","5","8104","0.012339585389930898","100","10","0"
"12","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","5","7430","0.013458950201884253","100","10","0"
"14","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","5","9380","0.010660980810234541","100","10","0"
"15","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","5","6070","0.016474464579901153","100","10","0"
"19","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","10","27777","0.0036001008028224792","100","10","0"
"17","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","10","26513","0.003771734620752084","100","10","0"
"16","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","10","22576","0.004429482636428065","100","10","0"
"18","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","10","50582","0.0019769878612945317","100","10","0"
"20","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","10","43522","0.0022976885253435044","100","10","0"
