"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"6-dolphin-vision-reproduction"
"12/30/2024 16:58:01:287 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","dolphin-vision-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"4","false","1.2","150","1","10","100","1","28056","0.0035642999714856002","100","10","0"
"6","false","1.2","150","1","10","100","3","306","0.32679738562091504","100","10","0"
"7","false","1.2","150","1","10","100","3","399","0.2506265664160401","100","10","0"
"8","false","1.2","150","1","10","100","3","353","0.28328611898017","100","10","0"
"9","false","1.2","150","1","10","100","3","434","0.2304147465437788","100","10","0"
"10","false","1.2","150","1","10","100","3","420","0.23809523809523808","100","10","0"
"11","false","1.2","150","1","10","100","5","205","0.4878048780487805","100","10","0"
"12","false","1.2","150","1","10","100","5","192","0.5208333333333334","100","10","0"
"13","false","1.2","150","1","10","100","5","227","0.44052863436123346","100","10","0"
"14","false","1.2","150","1","10","100","5","167","0.5988023952095808","100","10","0"
"15","false","1.2","150","1","10","100","5","159","0.6289308176100629","100","10","0"
"16","false","1.2","150","1","10","100","10","174","0.5747126436781609","100","10","0"
"17","false","1.2","150","1","10","100","10","185","0.5405405405405406","100","10","0"
"18","false","1.2","150","1","10","100","10","143","0.6993006993006993","100","10","0"
"19","false","1.2","150","1","10","100","10","191","0.5235602094240838","100","10","0"
"2","false","1.2","150","1","10","100","1","43649","0.0022910032303145545","100","10","0"
"20","false","1.2","150","1","10","100","10","189","0.5291005291005291","100","10","0"
"1","false","1.2","150","1","10","100","1","31427","0.003181977280682216","100","10","0"
"3","false","1.2","150","1","10","100","1","33118","0.0030195060088169575","100","10","0"
"5","false","1.2","150","1","10","100","1","54154","0.0018465856631089117","100","10","0"
