"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"6-dolphin-vision"
"12/30/2024 16:56:15:754 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","dolphin-vision-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"3","false","1.2","150","1","10","100","1","30604","0.0032675467259181807","100","10","0"
"6","false","1.2","150","1","10","100","3","255","0.39215686274509803","100","10","0"
"7","false","1.2","150","1","10","100","3","422","0.23696682464454977","100","10","0"
"8","false","1.2","150","1","10","100","3","299","0.33444816053511706","100","10","0"
"9","false","1.2","150","1","10","100","3","433","0.23094688221709006","100","10","0"
"10","false","1.2","150","1","10","100","3","264","0.3787878787878788","100","10","0"
"11","false","1.2","150","1","10","100","5","172","0.5813953488372093","100","10","0"
"12","false","1.2","150","1","10","100","5","187","0.5347593582887701","100","10","0"
"13","false","1.2","150","1","10","100","5","206","0.4854368932038835","100","10","0"
"4","false","1.2","150","1","10","100","1","38420","0.0026028110359187923","100","10","0"
"14","false","1.2","150","1","10","100","5","194","0.5154639175257731","100","10","0"
"15","false","1.2","150","1","10","100","5","189","0.5291005291005291","100","10","0"
"16","false","1.2","150","1","10","100","10","143","0.6993006993006993","100","10","0"
"17","false","1.2","150","1","10","100","10","143","0.6993006993006993","100","10","0"
"18","false","1.2","150","1","10","100","10","136","0.7352941176470589","100","10","0"
"20","false","1.2","150","1","10","100","10","142","0.704225352112676","100","10","0"
"19","false","1.2","150","1","10","100","10","155","0.6451612903225806","100","10","0"
"5","false","1.2","150","1","10","100","1","25517","0.003918955990124231","100","10","0"
"2","false","1.2","150","1","10","100","1","33611","0.002975216446996519","100","10","0"
"1","false","1.2","150","1","10","100","1","90277","0.001107701850969793","100","10","0"
