"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"8-fish-collision-range-reproduction"
"01/01/2025 18:19:56:411 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","fish-collision-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"2","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1","355","0.3211267605633803","114","11.4","0"
"4","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1","509","0.21611001964636542","110","11","0"
"3","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1","391","0.3171355498721228","124","12.4","0"
"5","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1","464","0.25","116","11.6","0"
"8","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.2","536","0.22201492537313433","119","11.9","0"
"9","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.2","384","0.296875","114","11.4","0"
"6","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.2","444","0.26126126126126126","116","11.6","0"
"7","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.2","356","0.3342696629213483","119","11.9","0"
"10","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.2","595","0.19327731092436976","115","11.5","0"
"13","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.5","610","0.1885245901639344","115","11.5","0"
"12","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.5","367","0.3079019073569482","113","11.3","0"
"11","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.5","361","0.3185595567867036","115","11.5","0"
"1","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1","464","0.26939655172413796","125","12.5","0"
"15","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.5","270","0.4074074074074074","110","11","0"
"14","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.5","441","0.2766439909297052","122","12.2","0"
"16","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","2","275","0.4109090909090909","113","11.3","0"
"17","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","2","324","0.3425925925925926","111","11.1","0"
"18","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","2","329","0.3525835866261398","116","11.6","0"
"20","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","2","541","0.21811460258780038","118","11.8","0"
"19","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","2","442","0.26244343891402716","116","11.6","0"
