"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"8-fish-collision-range"
"01/01/2025 18:19:51:102 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","fish-collision-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"2","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1","282","0.3546099290780142","100","10","0"
"5","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1","290","0.3448275862068966","100","10","0"
"3","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1","356","0.2808988764044944","100","10","0"
"4","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1","387","0.25839793281653745","100","10","0"
"6","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.2","333","0.3003003003003003","100","10","0"
"7","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.2","499","0.20040080160320642","100","10","0"
"1","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1","211","0.47393364928909953","100","10","0"
"8","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.2","309","0.32362459546925565","100","10","0"
"9","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.2","256","0.390625","100","10","0"
"10","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.2","264","0.3787878787878788","100","10","0"
"11","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.5","211","0.47393364928909953","100","10","0"
"13","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.5","408","0.24509803921568626","100","10","0"
"14","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.5","301","0.33222591362126247","100","10","0"
"12","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.5","278","0.3597122302158273","100","10","0"
"15","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","1.5","331","0.3021148036253776","100","10","0"
"16","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","2","398","0.25125628140703515","100","10","0"
"17","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","2","428","0.2336448598130841","100","10","0"
"18","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","2","318","0.31446540880503143","100","10","0"
"19","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","2","376","0.26595744680851063","100","10","0"
"20","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","2","359","0.2785515320334262","100","10","0"
