"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"9-fish-cohesion-range-reproduction"
"01/01/2025 18:40:20:123 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","cohesion-weight","alignment-weight","max-turn","fish-cohesion-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"5","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","1","473","0.2536997885835095","120","12","0"
"4","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","1","442","0.2647058823529412","117","11.7","0"
"3","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","1","472","0.2669491525423729","126","12.6","0"
"2","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","1","593","0.20404721753794267","121","12.1","0"
"8","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","3","291","0.36769759450171824","107","10.7","0"
"6","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","3","429","0.28205128205128205","121","12.1","0"
"7","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","3","359","0.35097493036211697","126","12.6","0"
"9","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","3","410","0.28780487804878047","118","11.8","0"
"1","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","1","542","0.22140221402214022","120","12","0"
"12","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","5","608","0.19901315789473684","121","12.1","0"
"10","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","3","293","0.3890784982935154","114","11.4","0"
"11","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","5","404","0.2896039603960396","117","11.7","0"
"13","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","5","375","0.30933333333333335","116","11.6","0"
"14","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","5","551","0.21234119782214156","117","11.7","0"
"15","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","5","391","0.2864450127877238","112","11.2","0"
"18","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","10","268","0.4141791044776119","111","11.1","0"
"16","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","10","559","0.2182468694096601","122","12.2","0"
"19","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","10","371","0.3261455525606469","121","12.1","0"
"17","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","10","582","0.27147766323024053","158","15.8","0"
"20","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","10","402","0.27611940298507465","111","11.1","0"
