"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"9-fish-cohesion-range"
"01/01/2025 18:40:14:473 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","cohesion-weight","alignment-weight","max-turn","fish-cohesion-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"2","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","1","323","0.30959752321981426","100","10","0"
"3","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","1","285","0.3508771929824561","100","10","0"
"5","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","1","292","0.3424657534246575","100","10","0"
"4","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","1","282","0.3546099290780142","100","10","0"
"6","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","3","321","0.3115264797507788","100","10","0"
"7","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","3","312","0.32051282051282054","100","10","0"
"8","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","3","347","0.2881844380403458","100","10","0"
"10","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","3","321","0.3115264797507788","100","10","0"
"1","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","1","296","0.33783783783783783","100","10","0"
"9","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","3","435","0.22988505747126436","100","10","0"
"11","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","5","303","0.33003300330033003","100","10","0"
"13","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","5","348","0.28735632183908044","100","10","0"
"12","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","5","202","0.49504950495049505","100","10","0"
"14","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","5","330","0.30303030303030304","100","10","0"
"15","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","5","289","0.3460207612456747","100","10","0"
"16","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","10","252","0.3968253968253968","100","10","0"
"19","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","10","356","0.2808988764044944","100","10","0"
"18","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","10","309","0.32362459546925565","100","10","0"
"17","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","10","347","0.2881844380403458","100","10","0"
"20","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","10","433","0.23094688221709006","100","10","0"
