"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"1-fish-population-reproduction"
"01/02/2025 16:49:08:108 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","initial-number-fish","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"4","true","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","50","263","0.21673003802281368","57","5.7","0"
"5","true","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","50","218","0.24311926605504589","53","5.3","0"
"3","true","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","50","295","0.1864406779661017","55","5.5","0"
"2","true","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","50","511","0.11350293542074363","58","5.8","0"
"1","true","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","50","327","0.1651376146788991","54","5.4","0"
"7","true","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","100","296","0.3716216216216216","110","11","0"
"6","true","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","100","345","0.32753623188405795","113","11.3","0"
"10","true","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","100","356","0.31741573033707865","113","11.3","0"
"8","true","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","100","241","0.44813278008298757","108","10.8","0"
"9","true","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","100","391","0.28388746803069054","111","11.1","0"
"13","true","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","200","488","0.5020491803278688","245","24.5","0"
"12","true","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","200","546","0.4816849816849817","263","26.3","0"
"11","true","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","200","593","0.45868465430016864","272","27.2","0"
"14","true","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","200","473","0.5221987315010571","247","24.7","0"
"15","true","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","200","632","0.3939873417721519","249","24.9","0"
