"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"1-fish-population"
"01/02/2025 16:48:55:455 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","initial-number-fish","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"2","false","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","50","238","0.21008403361344538","50","5","0"
"1","false","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","50","156","0.32051282051282054","50","5","0"
"5","false","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","50","244","0.20491803278688525","50","5","0"
"4","false","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","50","209","0.23923444976076555","50","5","0"
"3","false","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","50","333","0.15015015015015015","50","5","0"
"8","false","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","100","221","0.45248868778280543","100","10","0"
"6","false","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","100","276","0.36231884057971014","100","10","0"
"7","false","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","100","251","0.398406374501992","100","10","0"
"9","false","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","100","408","0.24509803921568626","100","10","0"
"10","false","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","100","327","0.3058103975535168","100","10","0"
"11","false","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","200","568","0.352112676056338","200","20","0"
"13","false","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","200","324","0.6172839506172839","200","20","0"
"12","false","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","200","299","0.6688963210702341","200","20","0"
"14","false","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","200","480","0.4166666666666667","200","20","0"
"15","false","1.2","3","3","150","1","10","1","3","0.3","0.3","20","8","200","384","0.5208333333333334","200","20","0"
