"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"10-fish-weights-reproduction"
"01/02/2025 16:53:33:078 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","max-turn","dolphin-communication-range","cohesion-weight","alignment-weight","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"1","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.1","268","0.417910447761194","112","11.2","0"
"2","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.1","342","0.3157894736842105","108","10.8","0"
"5","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.1","373","0.3324396782841823","124","12.4","0"
"3","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.1","327","0.345565749235474","113","11.3","0"
"4","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.1","359","0.3203342618384401","115","11.5","0"
"6","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.3","455","0.2549450549450549","116","11.6","0"
"8","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.3","356","0.31179775280898875","111","11.1","0"
"7","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.3","375","0.32","120","12","0"
"9","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.3","429","0.2727272727272727","117","11.7","0"
"10","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.3","446","0.25112107623318386","112","11.2","0"
"12","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.5","274","0.3978102189781022","109","10.9","0"
"11","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.5","358","0.32122905027932963","115","11.5","0"
"13","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.5","373","0.3002680965147453","112","11.2","0"
"14","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.5","248","0.42338709677419356","105","10.5","0"
"15","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.5","298","0.36577181208053694","109","10.9","0"
"16","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.7","442","0.251131221719457","111","11.1","0"
"18","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.7","525","0.21904761904761905","115","11.5","0"
"17","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.7","518","0.2471042471042471","128","12.8","0"
"19","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.7","394","0.2868020304568528","113","11.3","0"
"20","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.7","652","0.17331288343558282","113","11.3","0"
"22","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","1","315","0.35555555555555557","112","11.2","0"
"23","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","1","478","0.2405857740585774","115","11.5","0"
"21","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","1","787","0.15120711562897077","119","11.9","0"
"24","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","1","416","0.28125","117","11.7","0"
"26","true","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.1","277","0.3935018050541516","109","10.9","0"
"28","true","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.1","366","0.31420765027322406","115","11.5","0"
"25","true","150","1.2","3","3","1","10","100","1","3","20","8","0.1","1","412","0.30097087378640774","124","12.4","0"
"29","true","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.1","407","0.29484029484029484","120","12","0"
"27","true","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.1","349","0.3467048710601719","121","12.1","0"
"32","true","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.3","320","0.34375","110","11","0"
"30","true","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.1","433","0.26558891454965355","115","11.5","0"
"31","true","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.3","519","0.23314065510597304","121","12.1","0"
"33","true","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.3","391","0.289002557544757","113","11.3","0"
