"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"10-fish-weights"
"01/02/2025 16:53:06:162 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","max-turn","dolphin-communication-range","cohesion-weight","alignment-weight","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"3","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.1","212","0.4716981132075472","100","10","0"
"1","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.1","241","0.4149377593360996","100","10","0"
"5","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.1","345","0.2898550724637681","100","10","0"
"4","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.1","239","0.41841004184100417","100","10","0"
"2","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.1","306","0.32679738562091504","100","10","0"
"6","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.3","352","0.2840909090909091","100","10","0"
"8","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.3","200","0.5","100","10","0"
"7","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.3","315","0.31746031746031744","100","10","0"
"9","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.3","505","0.19801980198019803","100","10","0"
"10","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.3","301","0.33222591362126247","100","10","0"
"12","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.5","239","0.41841004184100417","100","10","0"
"11","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.5","288","0.3472222222222222","100","10","0"
"13","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.5","351","0.2849002849002849","100","10","0"
"15","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.5","292","0.3424657534246575","100","10","0"
"14","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.5","292","0.3424657534246575","100","10","0"
"16","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.7","376","0.26595744680851063","100","10","0"
"17","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.7","292","0.3424657534246575","100","10","0"
"18","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.7","311","0.3215434083601286","100","10","0"
"19","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.7","299","0.33444816053511706","100","10","0"
"20","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","0.7","224","0.44642857142857145","100","10","0"
"21","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","1","305","0.32786885245901637","100","10","0"
"23","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","1","382","0.2617801047120419","100","10","0"
"22","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","1","366","0.273224043715847","100","10","0"
"24","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","1","321","0.3115264797507788","100","10","0"
"28","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.1","241","0.4149377593360996","100","10","0"
"25","false","150","1.2","3","3","1","10","100","1","3","20","8","0.1","1","365","0.273972602739726","100","10","0"
"27","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.1","248","0.4032258064516129","100","10","0"
"26","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.1","481","0.2079002079002079","100","10","0"
"30","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.1","464","0.21551724137931033","100","10","0"
"31","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.3","464","0.21551724137931033","100","10","0"
"32","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.3","312","0.32051282051282054","100","10","0"
"29","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.1","339","0.2949852507374631","100","10","0"
"34","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.3","290","0.3448275862068966","100","10","0"
"36","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.5","354","0.2824858757062147","100","10","0"
"33","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.3","245","0.40816326530612246","100","10","0"
"35","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.3","299","0.33444816053511706","100","10","0"
"37","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.5","282","0.3546099290780142","100","10","0"
"38","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.5","280","0.35714285714285715","100","10","0"
"40","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.5","334","0.2994011976047904","100","10","0"
"41","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.7","287","0.34843205574912894","100","10","0"
"39","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.5","313","0.3194888178913738","100","10","0"
"42","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.7","361","0.2770083102493075","100","10","0"
"43","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.7","265","0.37735849056603776","100","10","0"
"45","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.7","288","0.3472222222222222","100","10","0"
"44","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","0.7","331","0.3021148036253776","100","10","0"
"46","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","1","275","0.36363636363636365","100","10","0"
"47","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","1","304","0.32894736842105265","100","10","0"
"49","false","150","1.2","3","3","1","10","100","1","3","20","8","0.3","1","289","0.3460207612456747","100","10","0"
