"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"11-fish-max-turn-reproduction"
"01/02/2025 16:53:55:372 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","dolphin-communication-range","max-turn","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"1","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","1","299","0.3612040133779264","108","10.8","0"
"2","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","1","498","0.22690763052208834","113","11.3","0"
"5","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","1","438","0.2625570776255708","115","11.5","0"
"4","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","1","394","0.2969543147208122","117","11.7","0"
"3","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","1","399","0.2832080200501253","113","11.3","0"
"7","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","20","424","0.25943396226415094","110","11","0"
"6","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","20","389","0.3213367609254499","125","12.5","0"
"9","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","20","380","0.29736842105263156","113","11.3","0"
"8","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","20","427","0.2693208430913349","115","11.5","0"
"10","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","20","256","0.41796875","107","10.7","0"
"11","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","50","431","0.2737819025522042","118","11.8","0"
"12","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","50","375","0.296","111","11.1","0"
"14","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","50","379","0.29815303430079154","113","11.3","0"
"13","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","50","457","0.24726477024070023","113","11.3","0"
"15","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","50","241","0.44398340248962653","107","10.7","0"
"16","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","90","236","0.4491525423728814","106","10.6","0"
"17","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","90","405","0.2716049382716049","110","11","0"
"18","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","90","362","0.2983425414364641","108","10.8","0"
"20","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","90","297","0.38047138047138046","113","11.3","0"
"19","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","90","537","0.21042830540037244","113","11.3","0"
"22","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","120","350","0.3057142857142857","107","10.7","0"
"23","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","120","278","0.3920863309352518","109","10.9","0"
"21","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","120","360","0.2972222222222222","107","10.7","0"
"24","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","120","281","0.3914590747330961","110","11","0"
"25","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","120","267","0.40823970037453183","109","10.9","0"
"27","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","180","365","0.32054794520547947","117","11.7","0"
"28","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","180","280","0.39285714285714285","110","11","0"
"26","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","180","444","0.2747747747747748","122","12.2","0"
"30","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","180","585","0.19487179487179487","114","11.4","0"
"29","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","180","393","0.28498727735368956","112","11.2","0"
