"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"11-fish-max-turn"
"01/02/2025 16:53:42:308 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","dolphin-communication-range","max-turn","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"1","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","1","214","0.4672897196261682","100","10","0"
"4","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","1","340","0.29411764705882354","100","10","0"
"2","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","1","272","0.36764705882352944","100","10","0"
"3","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","1","519","0.1926782273603083","100","10","0"
"5","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","1","582","0.1718213058419244","100","10","0"
"6","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","20","293","0.3412969283276451","100","10","0"
"7","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","20","274","0.36496350364963503","100","10","0"
"8","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","20","252","0.3968253968253968","100","10","0"
"9","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","20","332","0.30120481927710846","100","10","0"
"10","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","20","322","0.3105590062111801","100","10","0"
"13","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","50","227","0.44052863436123346","100","10","0"
"11","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","50","334","0.2994011976047904","100","10","0"
"14","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","50","254","0.3937007874015748","100","10","0"
"12","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","50","351","0.2849002849002849","100","10","0"
"17","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","90","380","0.2631578947368421","100","10","0"
"15","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","50","295","0.3389830508474576","100","10","0"
"16","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","90","369","0.27100271002710025","100","10","0"
"18","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","90","267","0.37453183520599254","100","10","0"
"19","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","90","332","0.30120481927710846","100","10","0"
"20","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","90","379","0.2638522427440633","100","10","0"
"21","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","120","310","0.3225806451612903","100","10","0"
"22","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","120","259","0.3861003861003861","100","10","0"
"23","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","120","212","0.4716981132075472","100","10","0"
"24","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","120","232","0.43103448275862066","100","10","0"
"26","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","180","243","0.411522633744856","100","10","0"
"25","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","120","449","0.22271714922049","100","10","0"
"27","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","180","252","0.3968253968253968","100","10","0"
"28","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","180","462","0.21645021645021645","100","10","0"
"30","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","180","284","0.352112676056338","100","10","0"
"29","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","8","180","346","0.28901734104046245","100","10","0"
