"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"12-dolphin-communication-reproduction"
"01/02/2025 17:36:38:032 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"2","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","3","258","0.4186046511627907","108","10.8","0"
"5","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","3","333","0.34534534534534533","115","11.5","0"
"6","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","5","233","0.45064377682403434","105","10.5","0"
"3","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","3","541","0.20702402957486138","112","11.2","0"
"1","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","3","376","0.3351063829787234","126","12.6","0"
"4","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","3","587","0.19931856899488926","117","11.7","0"
"7","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","5","330","0.3333333333333333","110","11","0"
"8","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","5","498","0.2429718875502008","121","12.1","0"
"9","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","5","349","0.3123209169054441","109","10.9","0"
"10","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","5","270","0.4222222222222222","114","11.4","0"
"11","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","319","0.36363636363636365","116","11.6","0"
"12","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","399","0.2907268170426065","116","11.6","0"
"13","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","367","0.3024523160762943","111","11.1","0"
"15","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","330","0.34545454545454546","114","11.4","0"
"14","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","344","0.31976744186046513","110","11","0"
"16","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","12","344","0.3313953488372093","114","11.4","0"
"18","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","12","420","0.26666666666666666","112","11.2","0"
"19","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","12","339","0.36578171091445427","124","12.4","0"
"17","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","12","544","0.21323529411764705","116","11.6","0"
"20","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","12","362","0.31767955801104975","115","11.5","0"
"21","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","15","385","0.3142857142857143","121","12.1","0"
"22","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","15","479","0.24217118997912318","116","11.6","0"
"23","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","15","405","0.3135802469135803","127","12.7","0"
"25","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","15","420","0.28095238095238095","118","11.8","0"
"24","true","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","15","402","0.2960199004975124","119","11.9","0"
