"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"12-dolphin-communication"
"01/02/2025 16:54:01:044 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"5","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","3","343","0.2915451895043732","100","10","0"
"3","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","3","324","0.30864197530864196","100","10","0"
"2","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","3","197","0.5076142131979695","100","10","0"
"4","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","3","379","0.2638522427440633","100","10","0"
"1","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","3","296","0.33783783783783783","100","10","0"
"6","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","5","319","0.31347962382445144","100","10","0"
"9","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","5","248","0.4032258064516129","100","10","0"
"8","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","5","374","0.26737967914438504","100","10","0"
"7","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","5","345","0.2898550724637681","100","10","0"
"10","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","5","262","0.3816793893129771","100","10","0"
"11","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","245","0.40816326530612246","100","10","0"
"14","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","213","0.4694835680751174","100","10","0"
"13","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","245","0.40816326530612246","100","10","0"
"15","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","325","0.3076923076923077","100","10","0"
"12","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","345","0.2898550724637681","100","10","0"
"18","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","12","287","0.34843205574912894","100","10","0"
"17","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","12","361","0.2770083102493075","100","10","0"
"19","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","12","361","0.2770083102493075","100","10","0"
"16","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","12","361","0.2770083102493075","100","10","0"
"20","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","12","287","0.34843205574912894","100","10","0"
"22","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","15","305","0.32786885245901637","100","10","0"
"23","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","15","272","0.36764705882352944","100","10","0"
"21","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","15","456","0.21929824561403508","100","10","0"
"24","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","15","282","0.3546099290780142","100","10","0"
"25","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","15","477","0.20964360587002095","100","10","0"
