"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"13-dolphin-communication-0-range"
"01/02/2025 18:09:43:988 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"2","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","338","0.2958579881656805","100","10","0"
"3","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","305","0.32786885245901637","100","10","0"
"4","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","302","0.33112582781456956","100","10","0"
"1","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","302","0.33112582781456956","100","10","0"
"5","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","266","0.37593984962406013","100","10","0"
"6","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","283","0.35335689045936397","100","10","0"
"7","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","306","0.32679738562091504","100","10","0"
"8","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","249","0.40160642570281124","100","10","0"
"9","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","309","0.32362459546925565","100","10","0"
"10","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","256","0.390625","100","10","0"
"11","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","368","0.2717391304347826","100","10","0"
"12","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","282","0.3546099290780142","100","10","0"
"13","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","338","0.2958579881656805","100","10","0"
"14","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","324","0.30864197530864196","100","10","0"
"15","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","275","0.36363636363636365","100","10","0"
"16","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","310","0.3225806451612903","100","10","0"
"17","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","234","0.42735042735042733","100","10","0"
"18","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","266","0.37593984962406013","100","10","0"
"19","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","345","0.2898550724637681","100","10","0"
"20","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","329","0.303951367781155","100","10","0"
"21","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","373","0.2680965147453083","100","10","0"
"22","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","226","0.4424778761061947","100","10","0"
"23","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","314","0.3184713375796178","100","10","0"
"24","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","280","0.35714285714285715","100","10","0"
"25","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","286","0.34965034965034963","100","10","0"
"26","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","371","0.2695417789757412","100","10","0"
"27","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","306","0.32679738562091504","100","10","0"
"28","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","322","0.3105590062111801","100","10","0"
"29","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","241","0.4149377593360996","100","10","0"
"30","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","254","0.3937007874015748","100","10","0"
"31","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","289","0.3460207612456747","100","10","0"
"32","false","150","1.2","3","3","1","10","100","1","3","0.3","0.3","20","0","232","0.43103448275862066","100","10","0"
