"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"2-dolphin-population-reproduction"
"01/02/2025 16:49:13:626 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","initial-number-dolphins","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"4","true","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","5","910","0.1967032967032967","179","35.8","0"
"6","true","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","10","301","0.3754152823920266","113","11.3","0"
"2","true","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","5","1079","0.1927710843373494","208","41.6","0"
"5","true","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","5","1673","0.10639569635385535","178","35.6","0"
"8","true","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","10","378","0.32275132275132273","122","12.2","0"
"7","true","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","10","297","0.39057239057239057","116","11.6","0"
"9","true","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","10","348","0.3218390804597701","112","11.2","0"
"10","true","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","10","272","0.3897058823529412","106","10.6","0"
"12","true","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","20","172","0.5988372093023255","103","5.15","0"
"3","true","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","5","1168","0.17893835616438356","209","41.8","0"
"11","true","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","20","148","0.6756756756756757","100","5","0"
"1","true","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","5","1179","0.16115351993214588","190","38","0"
"13","true","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","20","220","0.4636363636363636","102","5.1","0"
"14","true","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","20","159","0.6352201257861635","101","5.05","0"
"15","true","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","20","180","0.5611111111111111","101","5.05","0"
