"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"2-dolphin-population"
"01/02/2025 16:49:01:652 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","initial-number-dolphins","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"4","false","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","5","577","0.1733102253032929","100","20","0"
"2","false","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","5","552","0.18115942028985507","100","20","0"
"1","false","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","5","456","0.21929824561403508","100","20","0"
"3","false","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","5","594","0.16835016835016836","100","20","0"
"5","false","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","5","647","0.1545595054095827","100","20","0"
"6","false","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","10","422","0.23696682464454977","100","10","0"
"7","false","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","10","246","0.4065040650406504","100","10","0"
"8","false","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","10","291","0.3436426116838488","100","10","0"
"11","false","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","20","146","0.684931506849315","100","5","0"
"9","false","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","10","227","0.44052863436123346","100","10","0"
"10","false","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","10","368","0.2717391304347826","100","10","0"
"12","false","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","20","146","0.684931506849315","100","5","0"
"13","false","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","20","154","0.6493506493506493","100","5","0"
"14","false","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","20","161","0.6211180124223602","100","5","0"
"15","false","1.2","3","3","150","1","100","1","3","0.3","0.3","20","8","20","146","0.684931506849315","100","5","0"
