"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"3-fish-speed-reproduction"
"01/02/2025 16:50:00:176 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","speed-fish","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"3","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1","427","0.25526932084309134","109","10.9","0"
"4","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1","344","0.3372093023255814","116","11.6","0"
"1","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1","374","0.29411764705882354","110","11","0"
"5","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1","407","0.2800982800982801","114","11.4","0"
"2","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1","405","0.28888888888888886","117","11.7","0"
"6","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1.2","964","0.22095435684647302","213","21.3","0"
"7","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1.2","725","0.25103448275862067","182","18.2","0"
"8","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1.2","1018","0.2151277013752456","219","21.9","0"
"9","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1.2","1250","0.18","225","22.5","0"
"10","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1.2","1340","0.19701492537313434","264","26.4","0"
"12","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1.5","1597","0.2128991859737007","340","34","0"
"11","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1.5","2212","0.16952983725135623","375","37.5","0"
"14","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1.5","2458","0.13466232709519935","331","33.1","0"
"15","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1.5","2511","0.11389884508164078","286","28.6","0"
"17","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1.7","1922","0.10822060353798127","208","20.8","0"
"16","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1.7","2776","0.11887608069164265","330","33","0"
"21","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","2","1270","0.12755905511811025","162","16.2","0"
"19","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1.7","3433","0.0803961549665016","276","27.6","0"
"20","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1.7","2060","0.10097087378640776","208","20.8","0"
"23","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","2","771","0.1893644617380026","146","14.6","0"
"13","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1.5","5988","0.15347361389445557","919","91.9","0"
"22","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","2","1400","0.11285714285714285","158","15.8","0"
"24","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","2","2150","0.07720930232558139","166","16.6","0"
"25","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","2","901","0.18423973362930077","166","16.6","0"
"18","true","1.2","3","3","150","10","100","1","3","0.3","0.3","20","8","1.7","2626","0.11157654226961157","293","29.3","0"
