"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"4-dolphin-speed-reproduction"
"01/02/2025 16:50:31:040 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","speed-dolphin","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"2","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1","900","0.3111111111111111","280","28","2103"
"6","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.2","528","0.2159090909090909","114","11.4","0"
"7","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.2","317","0.3659305993690852","116","11.6","0"
"8","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.2","256","0.43359375","111","11.1","0"
"9","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.2","277","0.4043321299638989","112","11.2","0"
"10","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.2","303","0.36303630363036304","110","11","0"
"11","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.5","203","0.5221674876847291","106","10.6","0"
"12","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.5","322","0.33540372670807456","108","10.8","0"
"5","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1","900","0.45","405","40.5","2496"
"13","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.5","218","0.46788990825688076","102","10.2","0"
"14","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.5","126","0.7936507936507936","100","10","0"
"15","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.5","156","0.6474358974358975","101","10.1","0"
"16","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.7","158","0.6392405063291139","101","10.1","0"
"17","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.7","113","0.8849557522123894","100","10","0"
"1","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1","900","0.3788888888888889","341","34.1","2324"
"18","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.7","181","0.5580110497237569","101","10.1","0"
"19","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.7","190","0.5473684210526316","104","10.4","0"
"21","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","2","129","0.7751937984496124","100","10","0"
"20","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.7","323","0.3157894736842105","102","10.2","0"
"22","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","2","149","0.6711409395973155","100","10","0"
"23","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","2","111","0.9009009009009009","100","10","0"
"24","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","2","116","0.8620689655172413","100","10","0"
"25","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","2","116","0.8620689655172413","100","10","0"
"4","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1","900","0.41444444444444445","373","37.3","2730"
"3","true","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1","1050","0.5","525","52.5","3067"
