"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"4-dolphin-speed"
"01/02/2025 16:49:36:837 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","dolphin-vision-range","fish-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","speed-dolphin","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"4","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1","1025","0.0975609756097561","100","10","0"
"5","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1","1213","0.08244023083264633","100","10","0"
"2","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1","925","0.10810810810810811","100","10","0"
"3","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1","1257","0.07955449482895784","100","10","0"
"6","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.2","463","0.2159827213822894","100","10","0"
"8","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.2","325","0.3076923076923077","100","10","0"
"7","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.2","210","0.47619047619047616","100","10","0"
"9","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.2","610","0.16393442622950818","100","10","0"
"11","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.5","162","0.6172839506172839","100","10","0"
"12","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.5","154","0.6493506493506493","100","10","0"
"13","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.5","183","0.546448087431694","100","10","0"
"16","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.7","150","0.6666666666666666","100","10","0"
"14","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.5","174","0.5747126436781609","100","10","0"
"10","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.2","481","0.2079002079002079","100","10","0"
"17","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.7","138","0.7246376811594203","100","10","0"
"15","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.5","189","0.5291005291005291","100","10","0"
"18","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.7","284","0.352112676056338","100","10","0"
"19","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.7","124","0.8064516129032258","100","10","0"
"1","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1","1185","0.08438818565400844","100","10","0"
"22","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","2","171","0.5847953216374269","100","10","0"
"20","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","1.7","238","0.42016806722689076","100","10","0"
"21","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","2","139","0.7194244604316546","100","10","0"
"24","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","2","137","0.7299270072992701","100","10","0"
"23","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","2","143","0.6993006993006993","100","10","0"
"25","false","3","3","150","1","10","100","1","3","0.3","0.3","20","8","2","198","0.5050505050505051","100","10","0"
