"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"5-fish-vision-reproduction"
"01/02/2025 16:50:58:407 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","fish-vision-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"5","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","1","123","0.8130081300813008","100","10","0"
"4","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","1","214","0.4719626168224299","101","10.1","0"
"2","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","1","168","0.6011904761904762","101","10.1","0"
"1","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","1","114","0.8771929824561403","100","10","0"
"3","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","1","208","0.49038461538461536","102","10.2","0"
"7","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","3","280","0.37142857142857144","104","10.4","0"
"8","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","3","444","0.24549549549549549","109","10.9","0"
"9","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","3","382","0.3010471204188482","115","11.5","0"
"6","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","3","397","0.30982367758186397","123","12.3","0"
"10","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","3","343","0.32653061224489793","112","11.2","0"
"11","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","5","1050","0.5914285714285714","621","62.1","2132"
"14","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","5","1050","0.5304761904761904","557","55.7","2270"
"12","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","5","1200","0.4925","591","59.1","2316"
"15","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","5","1050","0.5533333333333333","581","58.1","2274"
"13","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","5","1200","0.6016666666666667","722","72.2","2968"
"16","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","10","1050","0.5628571428571428","591","59.1","2156"
"17","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","10","1050","0.5323809523809524","559","55.9","2806"
"18","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","10","1050","0.5009523809523809","526","52.6","2768"
"19","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","10","1050","0.5009523809523809","526","52.6","2492"
"20","true","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","10","1050","0.46","483","48.3","2157"
