"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"5-fish-vision"
"01/02/2025 16:50:41:918 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","fish-vision-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"2","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","1","173","0.5780346820809249","100","10","0"
"4","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","1","131","0.7633587786259542","100","10","0"
"5","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","1","218","0.45871559633027525","100","10","0"
"3","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","1","168","0.5952380952380952","100","10","0"
"1","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","1","217","0.4608294930875576","100","10","0"
"6","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","3","346","0.28901734104046245","100","10","0"
"9","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","3","208","0.4807692307692308","100","10","0"
"8","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","3","280","0.35714285714285715","100","10","0"
"7","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","3","454","0.22026431718061673","100","10","0"
"10","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","3","253","0.3952569169960474","100","10","0"
"12","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","5","1155","0.08658008658008658","100","10","0"
"14","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","5","1722","0.05807200929152149","100","10","0"
"11","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","5","2297","0.043535045711798","100","10","0"
"13","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","5","3140","0.03184713375796178","100","10","0"
"15","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","5","1454","0.0687757909215956","100","10","0"
"16","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","10","1410","0.07092198581560284","100","10","0"
"18","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","10","1933","0.05173305742369374","100","10","0"
"17","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","10","2088","0.04789272030651341","100","10","0"
"19","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","10","2051","0.04875670404680644","100","10","0"
"20","false","1.2","3","150","1","10","100","1","3","0.3","0.3","20","8","10","1959","0.05104645227156713","100","10","0"
