"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"6-dolphin-vision-reproduction"
"01/02/2025 16:51:37:866 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","dolphin-vision-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"5","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","1","8649","0.011562030292519366","100","10","0"
"6","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","3","298","0.33557046979865773","100","10","0"
"7","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","3","244","0.4098360655737705","100","10","0"
"4","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","1","6536","0.015299877600979192","100","10","0"
"8","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","3","205","0.4878048780487805","100","10","0"
"10","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","3","354","0.2824858757062147","100","10","0"
"9","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","3","244","0.4098360655737705","100","10","0"
"12","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","5","188","0.5319148936170213","100","10","0"
"11","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","5","193","0.5181347150259067","100","10","0"
"13","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","5","188","0.5319148936170213","100","10","0"
"14","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","5","204","0.49019607843137253","100","10","0"
"16","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","10","230","0.43478260869565216","100","10","0"
"15","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","5","321","0.3115264797507788","100","10","0"
"17","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","10","194","0.5154639175257731","100","10","0"
"18","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","10","162","0.6172839506172839","100","10","0"
"19","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","10","174","0.5747126436781609","100","10","0"
"20","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","10","154","0.6493506493506493","100","10","0"
"2","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","1","8584","0.011649580615097856","100","10","0"
"1","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","1","7776","0.01286008230452675","100","10","0"
"3","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","1","15103","0.0066212010858769784","100","10","0"
