"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"6-dolphin-vision"
"01/02/2025 16:50:47:905 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","fish-reproduction-rate","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","dolphin-vision-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"5","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","1","12893","0.00775614674629644","100","10","0"
"6","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","3","295","0.3389830508474576","100","10","0"
"7","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","3","384","0.2604166666666667","100","10","0"
"8","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","3","318","0.31446540880503143","100","10","0"
"9","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","3","312","0.32051282051282054","100","10","0"
"10","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","3","247","0.4048582995951417","100","10","0"
"4","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","1","13618","0.007343222205903951","100","10","0"
"11","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","5","151","0.6622516556291391","100","10","0"
"12","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","5","172","0.5813953488372093","100","10","0"
"13","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","5","181","0.5524861878453039","100","10","0"
"14","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","5","155","0.6451612903225806","100","10","0"
"15","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","5","202","0.49504950495049505","100","10","0"
"17","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","10","199","0.5025125628140703","100","10","0"
"16","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","10","196","0.5102040816326531","100","10","0"
"18","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","10","155","0.6451612903225806","100","10","0"
"19","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","10","148","0.6756756756756757","100","10","0"
"20","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","10","205","0.4878048780487805","100","10","0"
"3","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","1","14340","0.00697350069735007","100","10","0"
"1","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","1","15161","0.006595870984763538","100","10","0"
"2","false","1.2","150","1","10","100","1","3","0.3","0.3","20","8","1","20102","0.0049746293901104365","100","10","0"
