"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"7-fish-reproduction"
"01/02/2025 16:51:46:179 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","fish-reproduction-rate","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"3","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","25","150","2.08","312","31.2","2006"
"5","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","25","150","1.9666666666666666","295","29.5","2185"
"2","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","25","150","1.78","267","26.7","2375"
"4","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","25","150","1.8333333333333333","275","27.5","2248"
"1","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","25","150","1.7866666666666666","268","26.8","2642"
"9","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","50","450","1.6288888888888888","733","73.3","1991"
"7","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","50","500","1.732","866","86.6","2122"
"6","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","50","500","1.726","863","86.3","2137"
"11","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","100","393","0.361323155216285","142","14.2","0"
"12","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","100","398","0.32160804020100503","128","12.8","0"
"13","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","100","491","0.26883910386965376","132","13.2","0"
"15","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","100","456","0.30043859649122806","137","13.7","0"
"16","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","150","399","0.2857142857142857","114","11.4","0"
"14","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","100","393","0.37404580152671757","147","14.7","0"
"17","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","150","352","0.33238636363636365","117","11.7","0"
"18","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","150","415","0.26506024096385544","110","11","0"
"19","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","150","359","0.3370473537604457","121","12.1","0"
"21","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","300","336","0.3005952380952381","101","10.1","0"
"20","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","150","519","0.21965317919075145","114","11.4","0"
"22","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","300","271","0.36900369003690037","100","10","0"
"23","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","300","286","0.34965034965034963","100","10","0"
"24","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","300","262","0.3816793893129771","100","10","0"
"25","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","300","456","0.22149122807017543","101","10.1","0"
"8","true","1.2","3","3","1","10","100","1","3","0.3","0.3","20","8","50","550","1.769090909090909","973","97.3","2841"
