"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"8-fish-collision-range-reproduction"
"01/02/2025 16:52:24:083 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","fish-collision-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"1","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1","268","0.3917910447761194","105","10.5","0"
"3","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1","323","0.3653250773993808","118","11.8","0"
"5","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1","456","0.24342105263157895","111","11.1","0"
"2","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1","410","0.28536585365853656","117","11.7","0"
"4","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1","329","0.3586626139817629","118","11.8","0"
"7","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.2","333","0.3303303303303303","110","11","0"
"6","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.2","235","0.4553191489361702","107","10.7","0"
"8","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.2","257","0.42023346303501946","108","10.8","0"
"9","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.2","325","0.36615384615384616","119","11.9","0"
"10","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.2","320","0.359375","115","11.5","0"
"11","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.5","326","0.34355828220858897","112","11.2","0"
"12","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.5","410","0.28292682926829266","116","11.6","0"
"13","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.5","424","0.28773584905660377","122","12.2","0"
"15","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.5","252","0.4523809523809524","114","11.4","0"
"14","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.5","390","0.2846153846153846","111","11.1","0"
"16","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","2","380","0.29736842105263156","113","11.3","0"
"19","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","2","269","0.39776951672862454","107","10.7","0"
"18","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","2","330","0.34545454545454546","114","11.4","0"
"17","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","2","405","0.291358024691358","118","11.8","0"
"20","true","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","2","365","0.3013698630136986","110","11","0"
