"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"8-fish-collision-range"
"01/02/2025 16:52:19:271 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-cohesion-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","fish-collision-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"2","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1","282","0.3546099290780142","100","10","0"
"4","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1","318","0.31446540880503143","100","10","0"
"5","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1","316","0.31645569620253167","100","10","0"
"1","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1","313","0.3194888178913738","100","10","0"
"3","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1","331","0.3021148036253776","100","10","0"
"6","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.2","250","0.4","100","10","0"
"7","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.2","234","0.42735042735042733","100","10","0"
"8","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.2","361","0.2770083102493075","100","10","0"
"9","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.2","306","0.32679738562091504","100","10","0"
"10","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.2","369","0.27100271002710025","100","10","0"
"11","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.5","336","0.2976190476190476","100","10","0"
"12","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.5","436","0.22935779816513763","100","10","0"
"13","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.5","318","0.31446540880503143","100","10","0"
"15","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.5","309","0.32362459546925565","100","10","0"
"14","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","1.5","309","0.32362459546925565","100","10","0"
"16","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","2","285","0.3508771929824561","100","10","0"
"17","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","2","299","0.33444816053511706","100","10","0"
"19","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","2","264","0.3787878787878788","100","10","0"
"18","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","2","273","0.3663003663003663","100","10","0"
"20","false","150","1.2","3","3","1","10","100","3","0.3","0.3","20","8","2","321","0.3115264797507788","100","10","0"
