"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"9-fish-cohesion-range-reproduction"
"01/02/2025 16:53:01:079 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","fish-cohesion-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"5","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","1","419","0.27684964200477324","116","11.6","0"
"2","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","1","491","0.24439918533604887","120","12","0"
"1","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","1","431","0.28306264501160094","122","12.2","0"
"4","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","1","356","0.3455056179775281","123","12.3","0"
"3","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","1","574","0.21080139372822299","121","12.1","0"
"9","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","3","261","0.421455938697318","110","11","0"
"7","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","3","259","0.42857142857142855","111","11.1","0"
"8","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","3","465","0.24516129032258063","114","11.4","0"
"6","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","3","265","0.4188679245283019","111","11.1","0"
"10","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","3","365","0.3013698630136986","110","11","0"
"11","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","5","257","0.41245136186770426","106","10.6","0"
"12","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","5","251","0.42231075697211157","106","10.6","0"
"13","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","5","253","0.4268774703557312","108","10.8","0"
"15","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","5","292","0.363013698630137","106","10.6","0"
"14","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","5","622","0.18006430868167203","112","11.2","0"
"16","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","10","524","0.20610687022900764","108","10.8","0"
"17","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","10","233","0.45493562231759654","106","10.6","0"
"18","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","10","184","0.5543478260869565","102","10.2","0"
"19","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","10","174","0.5804597701149425","101","10.1","0"
"20","true","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","10","212","0.4858490566037736","103","10.3","0"
