"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"9-fish-cohesion-range"
"01/02/2025 16:52:53:750 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","cohesion-weight","alignment-weight","max-turn","dolphin-communication-range","fish-cohesion-range","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"2","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","1","471","0.21231422505307856","100","10","0"
"4","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","1","361","0.2770083102493075","100","10","0"
"5","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","1","355","0.28169014084507044","100","10","0"
"3","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","1","281","0.35587188612099646","100","10","0"
"1","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","1","385","0.2597402597402597","100","10","0"
"6","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","3","369","0.27100271002710025","100","10","0"
"9","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","3","227","0.44052863436123346","100","10","0"
"7","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","3","416","0.2403846153846154","100","10","0"
"8","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","3","336","0.2976190476190476","100","10","0"
"11","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","5","236","0.423728813559322","100","10","0"
"10","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","3","367","0.2724795640326976","100","10","0"
"12","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","5","265","0.37735849056603776","100","10","0"
"13","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","5","345","0.2898550724637681","100","10","0"
"15","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","5","323","0.30959752321981426","100","10","0"
"14","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","5","282","0.3546099290780142","100","10","0"
"16","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","10","177","0.5649717514124294","100","10","0"
"17","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","10","204","0.49019607843137253","100","10","0"
"18","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","10","252","0.3968253968253968","100","10","0"
"19","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","10","237","0.4219409282700422","100","10","0"
"20","false","150","1.2","3","3","1","10","100","1","0.3","0.3","20","8","10","217","0.4608294930875576","100","10","0"
